id,DataID,ClassName,datatype,uniqueid,name,latitude,longitude
2788,1,School,SCH,SCH1,GGES (MC) ATTOCK CITY,33.77117796,72.35656227
2789,2,School,SCH,SCH2,GGES (MC) MEHAR PURA,33.77826667,72.35365322
2790,3,School,SCH,SCH3,GGES DHOK GAMA,33.77322206,72.31641864
2791,4,School,SCH,SCH4,GGPS (MC) R BLOCK,33.76974042,72.35199777
2792,5,School,SCH,SCH5,GGPS CHHOI,33.72560263,72.21840799
2793,6,School,SCH,SCH6,GGPS DHOK WARAICH,33.74424986,72.25665884
2794,7,School,SCH,SCH7,GGPS JABA DAKHLI SARWALA,33.74612153,72.33085692
2795,8,School,SCH,SCH8,GGPS KOT NAWAB KHAN,33.73290896,72.24824488
2796,9,School,SCH,SCH9,GGPS MEHR PURA SHARQI,33.77722357,72.35979832
2797,10,School,SCH,SCH10,GGPS SHIN BAGH KHURD,33.76436346,72.33543519
2798,11,School,SCH,SCH11,GGPS THANDI BHAEER,33.87239456,72.24643707
2799,12,School,SCH,SCH12,GMPS (MC) K-BLOCK ATTOCK CITY NO.2,33.76742934,72.35745285
2800,13,School,SCH,SCH13,GES JASSIAN,33.75241166,72.38860168
2801,14,School,SCH,SCH14,GES PINDWAL,33.76494254,72.31707312
2802,15,School,SCH,SCH15,GES SHEEN BAGH KALAN,33.73050396,72.32602917
2803,16,School,SCH,SCH16,GPS (MC) ATTOCK NO.3,33.7695999,72.35189608
2804,17,School,SCH,SCH17,GPS (MC) CHOI WEST ATTOCK CITY,33.76621653,72.35155041
2805,18,School,SCH,SCH18,GPS ATTOCK SADAR,33.76418889,72.37250626
2806,19,School,SCH,SCH19,GPS BARYAR,33.72957696,72.37279264
2807,20,School,SCH,SCH20,GPS DHOK JAWANDA,33.70212917,72.3791495
2808,21,School,SCH,SCH21,GPS DHOK MOCHIAN AKHORI,33.69939744,72.4648279
2809,22,School,SCH,SCH22,GPS DHOK NAWAZ,33.6772265,72.42083397
2810,23,School,SCH,SCH23,GPS DHOK PATTA,33.71388674,72.44169116
2811,24,School,SCH,SCH24,GPS SARWALA,33.7622021,72.33391437
2812,25,School,SCH,SCH25,GGES DHERI KOT,33.72312987,72.30296868
2813,26,School,SCH,SCH26,GGES MONGI WALI,33.7213649,72.26037868
2814,27,School,SCH,SCH27,GGPS DHOK GHAZI,33.7134093,72.36872971
2815,28,School,SCH,SCH28,GGPS DHOK JAWANDA,33.69970586,72.3817022
2816,29,School,SCH,SCH29,GGPS KANJOOR,33.71137158,72.35937598
2817,30,School,SCH,SCH30,GGPS PINDWAL,33.76967669,72.32228994
