Area,Min_Rent_PKR,Max_Rent_PKR,Lat,Lon,Zone_Type,Avg_Rent_PKR,Annual_Cost_PKR,Cost_Score
Gulberg,200000,500000,31.5204,74.3587,High-Cost Urban,350000,4200000,0.0
DHA Phase 1-5,118000,200000,31.4697,74.4025,High-Cost Urban,159000,1908000,0.5457142857142857
Johar Town,50000,150000,31.4697,74.2799,Mid-Cost Urban,100000,1200000,0.7142857142857143
Model Town,120000,180000,31.5149,74.3337,Mid-Cost Urban,150000,1800000,0.5714285714285714
Bahria Town,100000,120000,31.3635,74.2073,Low-Cost Suburban,110000,1320000,0.6857142857142857
Township,40000,80000,31.4792,74.2637,Low-Cost Suburban,60000,720000,0.8285714285714285
Faisal Town,50000,90000,31.456,74.3016,Low-Cost Suburban,70000,840000,0.8
Wapda Town,35000,70000,31.4463,74.2776,Low-Cost Suburban,52500,630000,0.85
Allama Iqbal Town,50000,90000,31.5023,74.3429,Low-Cost Suburban,70000,840000,0.8
Raiwind Road,30000,60000,31.3825,74.375,Peri-Urban,45000,540000,0.8714285714285714
Cantt,50000,180000,31.5497,74.4085,High-Cost Urban,115000,1380000,0.6714285714285715
Iqbal Town,45000,80000,31.51,74.325,Low-Cost Suburban,62500,750000,0.8214285714285714
