Area,Avg_Rent_PKR,Total_Monthly_PKR,Breakeven_Students,Annual_Cost_PKR,Profit_100st_PKR,Profit_150st_PKR,Profit_200st_PKR,Zone_Type,Lat,Lon,MCDA_Score,Financial_Score,Combined_Score,Rank
Samanabad,57500,417500,140,5010000,-1410000,390000,2190000,Mid-Cost Urban,31.48,74.31,0.776808835474007,0.4092827004219409,0.6297983814531806,1
Wapda Town,52500,412500,138,4950000,-1350000,450000,2250000,Low-Cost Peri,31.4463,74.2776,0.7689888440642436,0.4177215189873418,0.6284819140334829,2
Johar Town,100000,460000,154,5520000,-1920000,-120000,1680000,Mid-Cost Urban,31.4697,74.2799,0.7729621685676582,0.3502109704641351,0.603861689326249,3
Faisal Town,70000,430000,144,5160000,-1560000,240000,2040000,Mid-Cost Urban,31.456,74.3016,0.7309959704962868,0.3924050632911392,0.5955596076142278,4
Iqbal Town,62500,422500,141,5070000,-1470000,330000,2130000,Mid-Cost Urban,31.51,74.325,0.7050563955494299,0.40506329113924056,0.5850591537853542,5
Cantt,115000,475000,159,5700000,-2100000,-300000,1500000,High-Cost Urban,31.5497,74.4085,0.7433567420160415,0.3291139240506329,0.577659614829878,6
Valencia Town,70000,430000,144,5160000,-1560000,240000,2040000,Low-Cost Suburban,31.424,74.26,0.6811626572688502,0.3924050632911392,0.5656596196777658,7
Township,60000,420000,140,5040000,-1440000,360000,2160000,Low-Cost Peri,31.4792,74.2637,0.6402415653803448,0.4092827004219409,0.5478580193969833,8
Mozang,85000,445000,149,5340000,-1740000,60000,1860000,Mid-Cost Urban,31.56,74.35,0.6559568014404472,0.37130801687763715,0.5420972876153232,9
Allama Iqbal Town,70000,430000,144,5160000,-1560000,240000,2040000,Mid-Cost Urban,31.5023,74.3429,0.6314525719690516,0.3924050632911392,0.5358335684978867,10
DHA Phase 1-5,159000,519000,173,6228000,-2628000,-828000,972000,High-Cost Urban,31.4697,74.4025,0.7030541929170082,0.27004219409282704,0.5298493933873357,11
Cavalry Ground,110000,470000,157,5640000,-2040000,-240000,1560000,Low-Cost Suburban,31.53,74.37,0.6282880730459627,0.33755274261603374,0.5119939408739911,12
Harbanspura,42500,402500,135,4830000,-1230000,570000,2370000,Very-Low Rural,31.505,74.378,0.5619650236916001,0.430379746835443,0.5093309129491372,13
Model Town,150000,510000,170,6120000,-2520000,-720000,1080000,High-Cost Urban,31.5149,74.3337,0.6248567974470319,0.28270042194092826,0.4879942472445905,14
Thokar Niaz Baig,42500,402500,135,4830000,-1230000,570000,2370000,Low-Cost Peri,31.4186,74.25,0.48742494399900543,0.430379746835443,0.4646068651335805,15
Raiwind Road,45000,405000,135,4860000,-1260000,540000,2340000,Low-Cost Peri,31.3825,74.375,0.3973429195529625,0.430379746835443,0.4105576504659547,16
Shahdara,37500,397500,133,4770000,-1170000,630000,2430000,Very-Low Rural,31.585,74.21,0.37237114555606626,0.43881856540084385,0.39895011349397735,17
Garden Town,125000,485000,162,5820000,-2220000,-420000,1380000,High-Cost Urban,31.5008,74.315,0.4351256842316581,0.31645569620253167,0.3876576890200075,18
Gulberg,350000,710000,237,8520000,-4920000,-3120000,-1320000,High-Cost Urban,31.5204,74.3587,0.6426745653853457,0.0,0.3856047392312074,19
DHA Phase 6-9,115000,475000,159,5700000,-2100000,-300000,1500000,Low-Cost Suburban,31.39,74.37,0.41573656610568976,0.3291139240506329,0.381087509283667,20
Sundar,37500,397500,133,4770000,-1170000,630000,2430000,Very-Low Rural,31.365,74.47,0.33476046643160434,0.43881856540084385,0.37638370601930016,21
Manga Mandi,32500,392500,131,4710000,-1110000,690000,2490000,Low-Cost Peri,31.267,74.42,0.324727194951473,0.4472573839662447,0.37373927055738165,22
Ferozwala,32500,392500,131,4710000,-1110000,690000,2490000,Very-Low Rural,31.62,74.28,0.32126797994264034,0.4472573839662447,0.37166374155208204,23
Kot Radha Kishan,30000,390000,130,4680000,-1080000,720000,2520000,Very-Low Rural,31.265,74.35,0.315863018229327,0.4514767932489452,0.37010852823717433,24
Bahria Town,110000,470000,157,5640000,-2040000,-240000,1560000,Low-Cost Suburban,31.3635,74.2073,0.31807574265750227,0.33755274261603374,0.32586654264091486,25
